scorer,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000,DLC_resnet50_Pendulum-Cam3Apr22shuffle1_20000
bodyparts,P01,P01,P01,P02,P02,P02,P03,P03,P03
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
165,1193.795044,215.3814087,0.983135223,1118.92981,480.4735413,0.99506098,1094.15686,567.4611816,0.989391565
166,1194.466675,215.3814087,0.984002113,1122.85791,480.4735413,0.997437358,1100.340454,567.1289063,0.983997583
167,1195.253784,215.4539032,0.986519694,1128.533081,480.4735413,0.993904769,1106.793335,565.2315063,0.996930659
168,1196.714966,215.3814087,0.985146701,1134.544067,480.7028503,0.99289614,1117.895508,563.187561,0.989070535
169,1197.945679,215.5659332,0.98614639,1144.5979,482.3804932,0.997029245,1128.891357,563.187561,0.988421857
170,1200.877686,215.6948853,0.989571929,1154.480347,484.8570557,0.998404324,1141.742065,563.187561,0.996427476
171,1203.411743,215.8087006,0.993379235,1166.589111,485.4350281,0.991898179,1154.739502,563.9511108,0.996879935
172,1205.136108,215.9559479,0.993868291,1176.207397,489.2416382,0.994972229,1169.961426,566.1071167,0.994782865
173,1207.692993,216.4923096,0.99298954,1188.43457,490.8577271,0.996364534,1184.130981,568.1452637,0.985374093
174,1209.927856,216.2904968,0.988208592,1198.967163,493.0927429,0.993193984,1199.191895,571.9845581,0.946782649
175,1212.142334,216.2904968,0.989915788,1209.591187,495.8658752,0.989801943,1213.974609,577.5897217,0.97064656
176,1214.274536,216.2904968,0.988237083,1218.615356,498.2518311,0.997364581,1225.414795,582.3458252,0.989263117
177,1216.107788,215.4521942,0.985152245,1228.403442,499.7367859,0.995323002,1235.177368,587.2646484,0.983736455
178,1217.348145,215.158432,0.98776567,1233.028564,503.2117004,0.997997463,1241.421997,594.1245728,0.992127657
179,1219.807251,215.0693359,0.992554247,1236.950806,504.2902832,0.998680413,1246.614868,600.0869751,0.992025673
180,1220.225586,215.0693359,0.994941413,1236.950806,506.230011,0.996750712,1246.614868,602.4135132,0.988938808
181,1220.225586,215.0693359,0.995066166,1236.950806,507.1817322,0.996269107,1246.614868,603.8518066,0.979322493
182,1220.225586,215.1069336,0.994888365,1236.645874,507.3118286,0.996005714,1244.795044,605.7536011,0.963027835
