frame,P01_X,P01_Y,P01_Z,P02_X,P02_Y,P02_Z,P03_X,P03_Y,P03_Z
226,139.424,284.493,235.415,108.195,276.589,24.981,95.492,272.981,-51.214
227,138.683,282.543,235.569,105.773,269.415,26.982,93.118,266.339,-45.949
228,137.380,284.061,235.573,98.112,284.674,26.134,84.605,280.317,-47.785
229,137.080,285.111,235.766,96.735,288.480,26.531,82.698,286.064,-47.069
230,137.051,285.195,235.840,96.616,288.161,27.315,82.632,285.889,-46.670
231,137.114,285.368,235.869,97.194,290.002,27.797,83.979,290.205,-46.496
232,137.470,286.350,235.755,99.866,296.600,27.167,86.180,296.505,-46.966
233,138.187,286.755,235.721,103.432,299.112,26.754,92.444,301.267,-46.684
234,138.803,286.920,235.609,109.569,297.754,26.807,99.853,303.649,-45.076
235,140.427,288.353,235.326,116.162,298.771,26.055,108.298,303.100,-44.718
236,141.984,288.241,235.065,125.106,299.140,25.888,120.045,299.421,-42.803
237,143.739,287.466,235.135,133.192,293.893,25.794,130.493,299.989,-43.148
238,145.173,287.143,235.141,142.224,290.168,25.911,143.568,289.112,-42.542
239,147.206,286.349,235.126,152.732,289.546,25.524,154.509,284.939,-42.161
240,148.961,284.587,235.187,161.250,281.995,26.335,167.370,283.194,-42.370
241,150.456,283.506,235.347,169.772,275.897,27.441,178.695,274.641,-42.546
242,152.289,282.197,235.500,177.045,272.112,27.524,189.070,263.126,-41.177
243,153.511,282.168,235.825,183.138,269.217,28.153,195.125,257.162,-41.679
244,154.080,283.617,235.729,184.847,273.222,26.229,198.489,264.605,-45.647
245,155.776,281.680,236.054,188.499,266.453,27.626,201.277,255.869,-44.855
246,156.106,280.411,236.344,189.830,260.977,28.356,202.753,250.255,-44.552
247,156.106,280.411,236.344,189.817,260.903,27.284,202.981,250.511,-46.367
248,155.977,280.071,236.349,188.371,257.415,27.881,200.286,244.202,-46.065
249,155.020,278.623,235.968,185.055,253.933,27.548,196.807,241.902,-46.434
250,153.799,277.804,235.755,180.173,252.411,27.613,189.724,238.831,-47.212
251,152.483,279.902,235.496,173.527,253.075,25.973,180.600,238.474,-48.121
252,151.103,279.952,235.447,165.357,253.835,24.927,169.955,240.711,-49.324
253,149.732,281.552,235.234,156.449,255.515,23.667,159.182,242.745,-49.950
254,147.740,281.096,235.290,147.383,259.346,22.388,146.670,250.121,-52.685
255,146.176,281.022,235.260,138.271,264.409,22.389,134.435,257.196,-54.130
256,144.046,283.926,234.779,128.617,267.428,21.701,122.453,261.678,-53.446
257,142.914,280.875,235.013,124.797,257.086,26.639,117.078,247.011,-46.093
258,141.615,281.512,234.894,116.759,262.528,26.843,107.234,256.935,-48.344
259,139.534,283.210,235.150,110.361,268.655,27.084,98.083,264.364,-48.308
260,138.541,283.520,235.329,104.341,275.352,25.744,91.056,273.770,-47.963
261,137.583,283.519,235.512,100.252,281.674,26.996,86.894,280.414,-48.459
262,137.316,284.475,235.700,98.216,287.777,26.866,85.417,284.966,-47.232
263,137.227,284.770,235.817,98.145,287.587,28.633,85.436,284.977,-45.532
264,137.662,285.973,235.752,99.636,292.180,28.081,86.768,289.269,-45.368
265,137.830,286.438,235.716,102.467,296.171,27.700,91.029,299.018,-46.019
266,138.639,286.756,235.640,107.139,295.984,27.869,96.384,300.290,-44.284
267,139.973,287.679,235.310,113.630,297.530,27.427,104.576,301.438,-44.471
268,141.101,287.942,235.181,120.979,295.250,27.201,114.613,297.527,-43.263
269,142.974,286.906,235.073,129.090,291.584,27.104,125.033,293.907,-41.534
270,143.727,288.779,234.810,133.749,304.745,22.756,131.286,310.993,-48.691
271,145.253,288.478,234.744,142.408,299.457,22.748,143.472,303.542,-48.980
272,147.512,286.541,235.026,152.360,297.854,22.876,155.325,299.005,-48.931
273,148.788,286.012,235.161,161.008,291.782,23.246,166.847,297.013,-48.903
274,150.343,285.238,235.290,168.448,284.776,24.609,176.581,288.415,-48.193
275,151.835,284.354,235.429,175.500,279.875,25.356,186.999,274.611,-46.032
276,153.335,283.082,235.705,181.724,275.083,26.384,193.621,262.735,-45.034
277,154.477,279.948,236.071,185.663,266.460,27.500,199.190,257.257,-45.294
278,155.765,280.606,236.044,187.675,261.395,28.014,200.816,251.265,-44.468
279,155.884,280.132,236.125,188.116,259.651,27.785,201.114,251.170,-47.565
280,155.884,280.132,236.125,188.119,259.627,27.125,200.072,248.553,-47.926
281,155.761,279.798,236.040,186.098,254.723,27.623,197.741,243.139,-46.894
282,154.436,279.163,235.940,182.258,254.499,27.166,192.731,239.377,-47.597
283,152.734,279.724,235.702,176.159,253.178,26.030,184.638,240.030,-48.095
284,152.461,279.041,235.634,172.310,243.772,28.602,179.283,227.275,-43.828
285,150.763,278.145,235.597,164.806,243.824,27.554,169.324,228.731,-44.012
286,149.874,279.152,235.557,156.292,244.045,27.340,158.571,232.422,-45.734
287,146.664,281.889,235.230,142.731,264.113,21.288,141.428,258.938,-55.019
288,145.931,280.166,235.455,138.526,253.069,25.053,135.409,243.137,-48.275
289,145.056,279.374,235.510,129.350,256.443,24.880,123.066,249.925,-48.536
290,142.471,282.587,235.128,121.349,263.521,24.822,112.800,257.202,-48.215
291,140.956,283.980,235.143,113.793,269.749,25.436,103.439,266.789,-50.717
292,139.168,284.383,235.449,108.000,276.525,25.699,95.428,272.855,-50.274
293,138.454,284.053,235.498,103.600,280.740,26.029,90.012,279.577,-48.774
294,137.856,284.715,235.637,100.603,289.488,25.751,87.379,287.655,-49.640
295,137.616,285.582,235.646,99.328,292.974,26.315,86.587,290.256,-48.092
296,137.565,285.763,235.756,99.273,292.823,27.489,86.586,290.208,-46.189
297,137.814,286.452,235.761,101.083,298.419,26.075,88.713,297.264,-46.953
298,138.150,287.380,235.746,103.965,302.245,25.562,92.473,303.401,-48.142
299,139.041,286.197,235.612,110.901,294.865,27.802,101.765,296.478,-45.680
300,140.428,287.327,235.361,117.428,292.999,28.405,110.089,294.101,-44.750
301,142.103,287.319,235.026,125.490,290.911,28.315,120.375,291.476,-43.785
302,142.878,289.435,234.829,129.705,302.724,24.559,125.628,306.874,-48.806
303,144.430,287.988,234.955,138.750,301.028,24.263,135.710,303.432,-48.518
304,146.639,285.560,235.246,147.356,298.012,23.613,147.912,298.438,-47.341
305,147.724,287.260,235.002,155.461,291.464,24.394,159.268,292.497,-45.137
306,149.410,285.248,235.224,163.571,285.597,24.800,171.441,290.597,-45.484
307,151.001,284.768,235.324,171.237,277.368,26.351,180.973,276.515,-44.852
308,152.257,283.202,235.505,177.551,272.861,26.624,190.089,265.827,-43.125
309,153.651,282.592,235.680,182.882,269.243,27.122,194.688,257.764,-44.297
310,154.749,279.465,236.154,186.065,262.000,28.152,198.851,250.876,-45.046
311,155.462,279.621,236.217,187.067,257.594,28.370,200.103,246.933,-45.897
312,155.463,279.620,236.169,187.062,257.559,27.749,200.105,246.884,-47.461
313,155.471,279.635,236.044,186.158,255.366,27.489,198.417,242.897,-46.635
314,154.636,278.911,235.842,183.731,254.070,26.566,194.285,241.894,-48.004
315,153.979,277.265,235.876,180.792,246.963,28.436,190.200,232.413,-45.004
316,152.859,278.819,235.622,175.368,245.714,28.088,182.812,228.860,-44.213
317,151.537,279.176,235.543,168.292,245.650,27.277,174.165,229.978,-45.443
318,150.396,278.942,235.610,160.197,248.296,25.980,163.746,234.357,-47.382
319,148.469,280.293,235.480,151.868,250.403,25.430,152.971,237.032,-47.905
320,146.831,279.500,235.613,142.761,253.845,24.320,141.542,244.302,-49.910
321,145.558,280.472,235.487,134.293,259.345,23.392,129.925,250.184,-50.124
322,143.426,282.566,235.203,126.065,265.444,23.621,119.017,256.654,-50.934
323,141.848,283.334,235.179,118.179,269.189,23.998,108.954,265.805,-50.891
324,140.060,284.299,234.958,111.851,274.249,25.243,100.373,271.957,-50.559
325,138.930,284.826,235.375,106.558,281.565,24.939,93.701,279.305,-51.448
326,138.187,284.661,235.385,102.713,285.929,25.133,89.520,286.133,-48.417
327,137.968,285.452,235.563,100.531,292.189,25.816,88.122,290.801,-49.284
328,137.858,285.816,235.642,100.466,292.012,27.195,88.041,290.551,-46.698
