frame,P01_Cam2_X,P01_Cam2_Y,P01_Cam3_X,P01_Cam3_Y,P02_Cam2_X,P02_Cam2_Y,P02_Cam3_X,P02_Cam3_Y,P03_Cam2_X,P03_Cam2_Y,P03_Cam3_X,P03_Cam3_Y
147,939.340,65.901,1220.619,214.801,988.801,399.135,1239.726,505.623,1009.384,507.454,1248.556,601.833
148,939.647,65.742,1220.619,214.801,994.418,401.879,1239.726,506.560,1013.941,510.105,1248.556,603.412
149,939.647,65.742,1220.619,215.068,994.418,402.462,1239.726,506.725,1013.941,510.572,1248.556,603.413
150,939.647,65.901,1220.137,215.351,994.418,404.476,1236.408,507.064,1013.941,512.272,1243.268,606.535
151,939.624,66.526,1219.721,215.768,988.691,406.292,1229.805,507.064,1007.520,520.614,1233.300,608.488
152,937.732,66.662,1216.776,216.186,981.357,407.757,1222.578,507.064,998.603,523.630,1222.196,608.488
153,933.702,66.845,1214.431,216.454,970.052,412.174,1210.807,507.025,983.937,524.515,1209.194,608.488
154,932.547,67.008,1212.908,216.454,956.336,413.601,1200.524,507.025,966.913,527.417,1195.903,603.618
155,932.451,67.406,1210.472,216.454,956.260,413.680,1187.916,506.878,966.888,527.417,1179.784,602.725
156,925.784,67.425,1208.040,216.283,925.621,414.346,1175.429,506.878,924.424,528.520,1163.976,601.079
157,923.734,68.006,1205.772,215.839,908.493,414.346,1164.926,501.834,903.361,528.584,1149.079,598.085
158,918.224,68.006,1202.848,215.839,891.949,414.346,1151.662,500.329,882.856,528.584,1134.411,591.960
159,918.219,68.006,1200.703,215.839,891.940,414.329,1141.926,496.542,882.783,528.520,1123.112,586.041
160,914.989,67.238,1198.147,215.872,877.628,412.912,1133.370,491.827,862.153,527.039,1110.567,584.127
161,911.977,65.815,1196.944,216.019,864.101,409.067,1126.653,491.417,846.268,525.109,1104.296,574.900
162,910.103,65.507,1194.818,216.019,853.938,406.346,1121.210,487.310,833.465,521.717,1096.098,573.069
163,908.570,64.375,1194.467,215.872,843.981,404.638,1118.930,483.833,825.706,517.180,1094.157,571.645
